question_id,source_dataset,question,ground_truth_answer,closed_book_answer,open_book_answer,closed_book_correct,open_book_correct,supporting_facts_retrieved,error_type,error_subtype,cot_closed_correct,cot_open_correct,confidence_score_closed,confidence_score_open,num_hops_required,domain
Q001,Natural Questions,What is the capital of Australia?,Canberra,Sydney,Canberra,0,1,1,knowledge,factual_recall,0,1,0.61,0.94,1,geography
Q002,Natural Questions,Who invented the telephone?,Alexander Graham Bell,Alexander Graham Bell,Alexander Graham Bell,1,1,1,none,none,1,1,0.97,0.99,1,history
Q003,Natural Questions,In what year was the Eiffel Tower completed?,1889,1887,1889,0,1,1,knowledge,factual_recall,0,1,0.55,0.91,1,history
Q004,Natural Questions,What is the largest ocean on Earth?,Pacific Ocean,Pacific Ocean,Pacific Ocean,1,1,1,none,none,1,1,0.99,0.99,1,geography
Q005,Natural Questions,Who wrote the novel 1984?,George Orwell,George Orwell,George Orwell,1,1,1,none,none,1,1,0.98,0.99,1,literature
Q006,Natural Questions,What element has the atomic number 79?,Gold,Silver,Gold,0,1,1,knowledge,factual_recall,0,1,0.48,0.93,1,science
Q007,Natural Questions,What is the chemical formula for water?,H2O,H2O,H2O,1,1,1,none,none,1,1,0.99,0.99,1,science
Q008,Natural Questions,Who painted the Mona Lisa?,Leonardo da Vinci,Leonardo da Vinci,Leonardo da Vinci,1,1,1,none,none,1,1,0.99,0.99,1,art
Q009,Natural Questions,Which planet is closest to the Sun?,Mercury,Mercury,Mercury,1,1,1,none,none,1,1,0.97,0.99,1,science
Q010,Natural Questions,What is the longest river in the world?,Nile,Amazon,Nile,0,1,1,knowledge,factual_recall,0,1,0.42,0.88,1,geography
Q011,Natural Questions,Who was the first person to walk on the Moon?,Neil Armstrong,Neil Armstrong,Neil Armstrong,1,1,1,none,none,1,1,0.99,0.99,1,history
Q012,Natural Questions,What year did World War II end?,1945,1945,1945,1,1,1,none,none,1,1,0.98,0.99,1,history
Q013,Natural Questions,What is the speed of light in a vacuum?,299792458 m/s,300000 km/s,299792458 m/s,0,1,1,knowledge,factual_precision,1,1,0.65,0.95,1,science
Q014,Natural Questions,Who is the author of the Harry Potter series?,J.K. Rowling,J.K. Rowling,J.K. Rowling,1,1,1,none,none,1,1,0.99,0.99,1,literature
Q015,Natural Questions,What is the smallest country in the world by area?,Vatican City,Monaco,Vatican City,0,1,1,knowledge,factual_recall,0,1,0.45,0.92,1,geography
Q016,Natural Questions,What is the main language spoken in Brazil?,Portuguese,Spanish,Portuguese,0,1,1,knowledge,factual_recall,0,1,0.52,0.91,1,culture
Q017,Natural Questions,Who developed the theory of general relativity?,Albert Einstein,Albert Einstein,Albert Einstein,1,1,1,none,none,1,1,0.99,0.99,1,science
Q018,Natural Questions,What is the boiling point of water in Celsius?,100,100,100,1,1,1,none,none,1,1,0.99,0.99,1,science
Q019,Natural Questions,What country has the highest population?,China,China,China,1,1,1,none,none,1,1,0.89,0.96,1,geography
Q020,Natural Questions,In what city is the Colosseum located?,Rome,Rome,Rome,1,1,1,none,none,1,1,0.99,0.99,1,history
Q021,TriviaQA,What organ produces insulin?,Pancreas,Pancreas,Pancreas,1,1,1,none,none,1,1,0.96,0.98,1,science
Q022,TriviaQA,What is the hardest natural substance on Earth?,Diamond,Diamond,Diamond,1,1,1,none,none,1,1,0.99,0.99,1,science
Q023,TriviaQA,How many bones are in the adult human body?,206,212,206,0,1,1,knowledge,factual_recall,0,1,0.51,0.94,1,science
Q024,TriviaQA,What is the national currency of Japan?,Yen,Yen,Yen,1,1,1,none,none,1,1,0.99,0.99,1,culture
Q025,TriviaQA,What is the square root of 144?,12,12,12,1,1,1,none,none,1,1,0.99,0.99,1,mathematics
Q026,TriviaQA,Who wrote Romeo and Juliet?,William Shakespeare,William Shakespeare,William Shakespeare,1,1,1,none,none,1,1,0.99,0.99,1,literature
Q027,TriviaQA,What is the tallest mountain on Earth?,Mount Everest,Mount Everest,Mount Everest,1,1,1,none,none,1,1,0.99,0.99,1,geography
Q028,TriviaQA,What year was the United Nations founded?,1945,1944,1945,0,1,1,knowledge,factual_recall,0,1,0.54,0.93,1,history
Q029,TriviaQA,Who invented the printing press?,Johannes Gutenberg,Johannes Gutenberg,Johannes Gutenberg,1,1,1,none,none,1,1,0.97,0.99,1,history
Q030,TriviaQA,What is the chemical symbol for gold?,Au,Au,Au,1,1,1,none,none,1,1,0.99,0.99,1,science
Q031,TriviaQA,How many continents are there on Earth?,7,7,7,1,1,1,none,none,1,1,0.99,0.99,1,geography
Q032,TriviaQA,What is the largest planet in our solar system?,Jupiter,Jupiter,Jupiter,1,1,1,none,none,1,1,0.99,0.99,1,science
Q033,TriviaQA,Who was the first president of the United States?,George Washington,George Washington,George Washington,1,1,1,none,none,1,1,0.99,0.99,1,history
Q034,TriviaQA,How many strings does a standard guitar have?,6,6,6,1,1,1,none,none,1,1,0.98,0.99,1,culture
Q035,TriviaQA,What is the largest desert in the world?,Antarctic Desert,Sahara Desert,Antarctic Desert,0,1,0,knowledge,factual_recall,0,1,0.28,0.72,1,geography
Q036,TriviaQA,Who composed Symphony No. 5?,Ludwig van Beethoven,Ludwig van Beethoven,Ludwig van Beethoven,1,1,1,none,none,1,1,0.98,0.99,1,art
Q037,TriviaQA,What is the chemical symbol for iron?,Fe,Fe,Fe,1,1,1,none,none,1,1,0.97,0.99,1,science
Q038,TriviaQA,How many planets are in our solar system?,8,9,8,0,1,1,knowledge,outdated_info,1,1,0.71,0.97,1,science
Q039,TriviaQA,What is the most spoken language in the world by native speakers?,Mandarin Chinese,English,Mandarin Chinese,0,1,1,knowledge,factual_recall,0,1,0.41,0.89,1,culture
Q040,TriviaQA,What does DNA stand for?,Deoxyribonucleic acid,Deoxyribonucleic acid,Deoxyribonucleic acid,1,1,1,none,none,1,1,0.99,0.99,1,science
Q041,HotpotQA,Who is the director of the film that stars the actor who played Iron Man?,Jon Favreau,Robert Downey Jr.,Jon Favreau,0,1,1,reasoning,multi_hop,0,1,0.25,0.81,2,culture
Q042,HotpotQA,What is the birthplace of the author of the novel that inspired the film The Wizard of Oz?,Chittenango New York,Kansas,Chittenango New York,0,1,0,reasoning,multi_hop,0,1,0.19,0.63,2,culture
Q043,HotpotQA,Which country is home to the city where the Treaty of Westphalia was signed?,Germany,Netherlands,Germany,0,1,1,reasoning,multi_hop,0,1,0.22,0.74,2,history
Q044,HotpotQA,What is the nationality of the scientist who discovered the element with atomic number 88?,French,Polish,French,0,1,1,reasoning,multi_hop,0,1,0.31,0.78,2,science
Q045,HotpotQA,Who was the president of the United States when the Berlin Wall fell?,George H.W. Bush,Ronald Reagan,George H.W. Bush,0,1,1,reasoning,multi_hop,0,1,0.38,0.86,2,history
Q046,HotpotQA,What language is spoken in the country that borders Brazil to the west?,Spanish,Portuguese,Spanish,0,1,1,reasoning,multi_hop,0,1,0.44,0.82,2,geography
Q047,HotpotQA,Who wrote the book that was adapted into the film directed by Christopher Nolan called Interstellar?,Jonathan Nolan and Christopher Nolan,Kip Thorne,Jonathan Nolan and Christopher Nolan,0,1,1,reasoning,multi_hop,0,1,0.29,0.77,2,culture
Q048,HotpotQA,What is the capital of the country that produces the most coffee in the world?,Brasilia,Bogota,Brasilia,0,1,1,reasoning,multi_hop,0,1,0.33,0.84,2,geography
Q049,HotpotQA,Who preceded the leader who approved the moon landing as US president?,Lyndon B. Johnson,Richard Nixon,Lyndon B. Johnson,0,1,1,reasoning,multi_hop,0,1,0.21,0.79,2,history
Q050,HotpotQA,What is the official language of the country where the Amazon River originates?,Spanish,Portuguese,Spanish,0,1,1,reasoning,multi_hop,1,1,0.48,0.87,2,geography
Q051,HotpotQA,In what decade was the composer of Bohemian Rhapsody born?,1940s,1950s,1940s,0,1,1,reasoning,multi_hop,0,1,0.27,0.76,2,culture
Q052,HotpotQA,What is the currency of the country where the company that makes the iPhone is headquartered?,US Dollar,US Dollar,US Dollar,1,1,1,none,none,1,1,0.91,0.98,2,culture
Q053,HotpotQA,Who painted the artwork that hangs in the Louvre and was stolen in 1911?,Leonardo da Vinci,Michelangelo,Leonardo da Vinci,0,1,1,reasoning,multi_hop,0,1,0.35,0.85,2,art
Q054,HotpotQA,What sport was played in the city where the first modern Olympics was held?,Athletics / Track and Field,Football,Athletics / Track and Field,0,1,1,reasoning,multi_hop,0,1,0.29,0.71,2,culture
Q055,HotpotQA,What is the height of the building in Chicago designed by the architect Fazlur Rahman Khan?,1450 feet,1776 feet,1450 feet,0,1,1,reasoning,multi_hop,0,1,0.22,0.69,2,science
Q056,HotpotQA,What is the birth year of the US president who signed the Civil Rights Act of 1964?,1908,1917,1908,0,1,1,reasoning,multi_hop,0,1,0.31,0.83,2,history
Q057,HotpotQA,What ocean does the river that runs through Cairo empty into?,Mediterranean Sea,Red Sea,Mediterranean Sea,0,1,1,reasoning,multi_hop,0,1,0.37,0.81,2,geography
Q058,HotpotQA,How many Academy Awards did the film directed by Peter Jackson based on Tolkien's work win?,11,3,11,0,1,0,reasoning,multi_hop,0,1,0.24,0.61,3,culture
Q059,HotpotQA,What country did the inventor of dynamite come from?,Sweden,Germany,Sweden,0,1,1,knowledge,factual_recall,0,1,0.41,0.88,1,history
Q060,HotpotQA,Who was the mentor of the scientist who discovered penicillin?,Sir Almroth Wright,Louis Pasteur,Sir Almroth Wright,0,1,0,reasoning,multi_hop,0,0,0.11,0.48,2,science
Q061,Natural Questions,What is the currency of the United Kingdom?,Pound Sterling,Pound Sterling,Pound Sterling,1,1,1,none,none,1,1,0.99,0.99,1,culture
Q062,Natural Questions,Who developed the polio vaccine?,Jonas Salk,Jonas Salk,Jonas Salk,1,1,1,none,none,1,1,0.97,0.99,1,science
Q063,Natural Questions,What is the largest organ of the human body?,Skin,Liver,Skin,0,1,1,knowledge,factual_recall,0,1,0.39,0.9,1,science
Q064,Natural Questions,What planet is known as the Red Planet?,Mars,Mars,Mars,1,1,1,none,none,1,1,0.99,0.99,1,science
Q065,Natural Questions,How many sides does a hexagon have?,6,6,6,1,1,1,none,none,1,1,0.99,0.99,1,mathematics
Q066,Natural Questions,What is the national sport of Canada?,Ice Hockey,Ice Hockey,Ice Hockey,1,1,1,none,none,1,1,0.94,0.98,1,culture
Q067,TriviaQA,What is the largest mammal in the world?,Blue Whale,Blue Whale,Blue Whale,1,1,1,none,none,1,1,0.99,0.99,1,science
Q068,TriviaQA,Who wrote the Iliad?,Homer,Homer,Homer,1,1,1,none,none,1,1,0.97,0.99,1,literature
Q069,TriviaQA,What is the atomic number of carbon?,6,6,6,1,1,1,none,none,1,1,0.99,0.99,1,science
Q070,TriviaQA,How many colors are in a rainbow?,7,7,7,1,1,1,none,none,1,1,0.99,0.99,1,science
Q071,HotpotQA,Who is the founder of the company that operates the social media platform acquired by Elon Musk in 2022?,Jack Dorsey,Mark Zuckerberg,Jack Dorsey,0,1,1,reasoning,multi_hop,0,1,0.34,0.88,2,culture
Q072,HotpotQA,What is the population of the city where the headquarters of the World Health Organization is located?,203000,500000,203000,0,1,1,reasoning,multi_hop,0,1,0.18,0.67,2,geography
Q073,HotpotQA,What is the national dish of the country that shares a border with France to the south?,Paella,Pizza,Paella,0,1,1,reasoning,multi_hop,0,1,0.29,0.76,2,culture
Q074,HotpotQA,Who wrote the play that inspired the Leonardo DiCaprio film Romeo + Juliet?,William Shakespeare,Leonardo DiCaprio,William Shakespeare,0,1,1,reasoning,multi_hop,0,1,0.41,0.93,2,culture
Q075,HotpotQA,What is the name of the moon of the planet known for its Great Red Spot?,Io,Europa,Io,0,0,0,reasoning,multi_hop,0,0,0.17,0.44,2,science
Q076,Natural Questions,What is the freezing point of water in Fahrenheit?,32,32,32,1,1,1,none,none,1,1,0.99,0.99,1,science
Q077,Natural Questions,How many days are there in a leap year?,366,365,366,0,1,1,knowledge,factual_recall,1,1,0.78,0.98,1,mathematics
Q078,Natural Questions,What is the capital of France?,Paris,Paris,Paris,1,1,1,none,none,1,1,0.99,0.99,1,geography
Q079,Natural Questions,Who discovered gravity?,Isaac Newton,Isaac Newton,Isaac Newton,1,1,1,none,none,1,1,0.97,0.99,1,science
Q080,Natural Questions,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Nitrogen,0,1,1,knowledge,factual_recall,0,1,0.44,0.91,1,science
Q081,TriviaQA,What is the name of the longest bone in the human body?,Femur,Femur,Femur,1,1,1,none,none,1,1,0.97,0.99,1,science
Q082,TriviaQA,Who founded Apple Inc.?,Steve Jobs,Steve Jobs,Steve Jobs,1,1,1,none,none,1,1,0.97,0.99,1,culture
Q083,TriviaQA,How many teeth does an adult human normally have?,32,32,32,1,1,1,none,none,1,1,0.98,0.99,1,science
Q084,TriviaQA,What is the sum of angles in a triangle?,180 degrees,180 degrees,180 degrees,1,1,1,none,none,1,1,0.99,0.99,1,mathematics
Q085,TriviaQA,What year did the Titanic sink?,1912,1912,1912,1,1,1,none,none,1,1,0.99,0.99,1,history
Q086,HotpotQA,What is the hometown of the musician who wrote the song that became the unofficial anthem of the Vietnam War protests?,Port Arthur Texas,San Francisco,Port Arthur Texas,0,1,0,reasoning,multi_hop,0,0,0.14,0.52,2,culture
Q087,HotpotQA,What university did the founder of Facebook attend before dropping out?,Harvard University,Harvard University,Harvard University,1,1,1,none,none,1,1,0.95,0.99,2,culture
Q088,HotpotQA,In which year was the novel published that features the character who attends Hogwarts?,1997,1997,1997,1,1,1,none,none,1,1,0.94,0.98,2,literature
Q089,HotpotQA,What is the home country of the tennis player who has won the most Grand Slam titles (male)?,Serbia,Switzerland,Serbia,0,1,1,reasoning,multi_hop,0,1,0.38,0.84,2,culture
Q090,HotpotQA,What element is the primary component of the Sun?,Hydrogen,Helium,Hydrogen,0,1,1,knowledge,factual_recall,1,1,0.62,0.96,1,science
Q091,Natural Questions,What is the largest country by area?,Russia,Russia,Russia,1,1,1,none,none,1,1,0.99,0.99,1,geography
Q092,Natural Questions,How many chambers does the human heart have?,4,4,4,1,1,1,none,none,1,1,0.99,0.99,1,science
Q093,Natural Questions,Who invented the lightbulb?,Thomas Edison,Thomas Edison,Thomas Edison,1,1,1,none,none,1,1,0.97,0.99,1,history
Q094,Natural Questions,What is the currency of China?,Renminbi / Yuan,Yuan,Renminbi / Yuan,1,1,1,none,none,1,1,0.91,0.98,1,culture
Q095,Natural Questions,What is the world's most visited museum?,Louvre,British Museum,Louvre,0,1,1,knowledge,factual_recall,0,1,0.41,0.89,1,culture
Q096,TriviaQA,What is the largest internal organ in the human body?,Liver,Liver,Liver,1,1,1,none,none,1,1,0.97,0.99,1,science
Q097,TriviaQA,What is the chemical formula for table salt?,NaCl,NaCl,NaCl,1,1,1,none,none,1,1,0.99,0.99,1,science
Q098,TriviaQA,How many meters are in a kilometer?,1000,1000,1000,1,1,1,none,none,1,1,0.99,0.99,1,mathematics
Q099,TriviaQA,Who was the first woman to win a Nobel Prize?,Marie Curie,Marie Curie,Marie Curie,1,1,1,none,none,1,1,0.99,0.99,1,history
Q100,HotpotQA,What is the capital of the country that hosts the annual Cannes Film Festival?,Paris,Cannes,Paris,0,1,1,reasoning,multi_hop,0,1,0.36,0.85,2,culture